Quarter,Region,State,Purpose,Trips
2012 Q2,Kakadu Arnhem,Northern Territory,Other,0.7274746
2012 Q3,Kakadu Arnhem,Northern Territory,Other,0.5173121
2012 Q4,Kakadu Arnhem,Northern Territory,Other,0
2013 Q1,Kakadu Arnhem,Northern Territory,Other,0
2013 Q2,Kakadu Arnhem,Northern Territory,Other,0
2013 Q3,Kakadu Arnhem,Northern Territory,Other,0.830257
2013 Q4,Kakadu Arnhem,Northern Territory,Other,0
2014 Q1,Kakadu Arnhem,Northern Territory,Other,0
2014 Q2,Kakadu Arnhem,Northern Territory,Other,0.9522274
2014 Q3,Kakadu Arnhem,Northern Territory,Other,0
2014 Q4,Kakadu Arnhem,Northern Territory,Other,0.4731867
2015 Q1,Kakadu Arnhem,Northern Territory,Other,0
2015 Q2,Kakadu Arnhem,Northern Territory,Other,0
2015 Q3,Kakadu Arnhem,Northern Territory,Other,0.7746183
2015 Q4,Kakadu Arnhem,Northern Territory,Other,0
2016 Q1,Kakadu Arnhem,Northern Territory,Other,0
2016 Q2,Kakadu Arnhem,Northern Territory,Other,2.2442634
2016 Q3,Kakadu Arnhem,Northern Territory,Other,0
2016 Q4,Kakadu Arnhem,Northern Territory,Other,0
2017 Q1,Kakadu Arnhem,Northern Territory,Other,1.9316311
2017 Q2,Kakadu Arnhem,Northern Territory,Other,0
2017 Q3,Kakadu Arnhem,Northern Territory,Other,0
2017 Q4,Kakadu Arnhem,Northern Territory,Other,0
1998 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.861641
1998 Q2,Kakadu Arnhem,Northern Territory,Visiting,1.3485114
1998 Q3,Kakadu Arnhem,Northern Territory,Visiting,1.2488601
1998 Q4,Kakadu Arnhem,Northern Territory,Visiting,0
1999 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.7492571
1999 Q2,Kakadu Arnhem,Northern Territory,Visiting,0
1999 Q3,Kakadu Arnhem,Northern Territory,Visiting,9.5743293
1999 Q4,Kakadu Arnhem,Northern Territory,Visiting,0.9191139
2000 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.4606585
2000 Q2,Kakadu Arnhem,Northern Territory,Visiting,2.5726825
2000 Q3,Kakadu Arnhem,Northern Territory,Visiting,6.7583035
2000 Q4,Kakadu Arnhem,Northern Territory,Visiting,0.7220912
2001 Q1,Kakadu Arnhem,Northern Territory,Visiting,2.3948039
2001 Q2,Kakadu Arnhem,Northern Territory,Visiting,2.1411424
2001 Q3,Kakadu Arnhem,Northern Territory,Visiting,3.2889183
2001 Q4,Kakadu Arnhem,Northern Territory,Visiting,2.9864539
2002 Q1,Kakadu Arnhem,Northern Territory,Visiting,13.5415871
2002 Q2,Kakadu Arnhem,Northern Territory,Visiting,2.3010708
2002 Q3,Kakadu Arnhem,Northern Territory,Visiting,4.2675815
2002 Q4,Kakadu Arnhem,Northern Territory,Visiting,2.5206904
2003 Q1,Kakadu Arnhem,Northern Territory,Visiting,6.598262
2003 Q2,Kakadu Arnhem,Northern Territory,Visiting,4.4506581
2003 Q3,Kakadu Arnhem,Northern Territory,Visiting,0
2003 Q4,Kakadu Arnhem,Northern Territory,Visiting,12.0759324
2004 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.8258195
2004 Q2,Kakadu Arnhem,Northern Territory,Visiting,1.2067088
2004 Q3,Kakadu Arnhem,Northern Territory,Visiting,9.2623637
2004 Q4,Kakadu Arnhem,Northern Territory,Visiting,5.67409
2005 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.2163337
2005 Q2,Kakadu Arnhem,Northern Territory,Visiting,2.9486704
2005 Q3,Kakadu Arnhem,Northern Territory,Visiting,5.5344611
2005 Q4,Kakadu Arnhem,Northern Territory,Visiting,7.1477355
2006 Q1,Kakadu Arnhem,Northern Territory,Visiting,2.550032
2006 Q2,Kakadu Arnhem,Northern Territory,Visiting,6.125695
2006 Q3,Kakadu Arnhem,Northern Territory,Visiting,4.598307
2006 Q4,Kakadu Arnhem,Northern Territory,Visiting,9.126161
2007 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.7291677
2007 Q2,Kakadu Arnhem,Northern Territory,Visiting,4.2852195
2007 Q3,Kakadu Arnhem,Northern Territory,Visiting,9.9392092
2007 Q4,Kakadu Arnhem,Northern Territory,Visiting,6.4430777
2008 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.633142
2008 Q2,Kakadu Arnhem,Northern Territory,Visiting,3.4447601
2008 Q3,Kakadu Arnhem,Northern Territory,Visiting,6.731106
2008 Q4,Kakadu Arnhem,Northern Territory,Visiting,3.315346
2009 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.19104
2009 Q2,Kakadu Arnhem,Northern Territory,Visiting,5.7441317
2009 Q3,Kakadu Arnhem,Northern Territory,Visiting,4.3600906
2009 Q4,Kakadu Arnhem,Northern Territory,Visiting,1.1568893
2010 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.4513922
2010 Q2,Kakadu Arnhem,Northern Territory,Visiting,0.7853516
2010 Q3,Kakadu Arnhem,Northern Territory,Visiting,1.7250011
2010 Q4,Kakadu Arnhem,Northern Territory,Visiting,3.401127
2011 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.9223743
2011 Q2,Kakadu Arnhem,Northern Territory,Visiting,2.1531108
2011 Q3,Kakadu Arnhem,Northern Territory,Visiting,1.4384608
2011 Q4,Kakadu Arnhem,Northern Territory,Visiting,2.6394326
2012 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.5111871
2012 Q2,Kakadu Arnhem,Northern Territory,Visiting,3.8944731
2012 Q3,Kakadu Arnhem,Northern Territory,Visiting,5.3457729
2012 Q4,Kakadu Arnhem,Northern Territory,Visiting,1.521578
2013 Q1,Kakadu Arnhem,Northern Territory,Visiting,0
2013 Q2,Kakadu Arnhem,Northern Territory,Visiting,1.8666781
2013 Q3,Kakadu Arnhem,Northern Territory,Visiting,7.6826162
2013 Q4,Kakadu Arnhem,Northern Territory,Visiting,5.2280971
2014 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.0644874
2014 Q2,Kakadu Arnhem,Northern Territory,Visiting,8.4640592
2014 Q3,Kakadu Arnhem,Northern Territory,Visiting,22.5334641
2014 Q4,Kakadu Arnhem,Northern Territory,Visiting,0
2015 Q1,Kakadu Arnhem,Northern Territory,Visiting,0.2491012
2015 Q2,Kakadu Arnhem,Northern Territory,Visiting,29.8624828
2015 Q3,Kakadu Arnhem,Northern Territory,Visiting,0.8303436
2015 Q4,Kakadu Arnhem,Northern Territory,Visiting,8.8237813
2016 Q1,Kakadu Arnhem,Northern Territory,Visiting,10.0900141
2016 Q2,Kakadu Arnhem,Northern Territory,Visiting,6.2768944
2016 Q3,Kakadu Arnhem,Northern Territory,Visiting,20.5891071
2016 Q4,Kakadu Arnhem,Northern Territory,Visiting,17.1130792
2017 Q1,Kakadu Arnhem,Northern Territory,Visiting,1.9426906
2017 Q2,Kakadu Arnhem,Northern Territory,Visiting,6.4126949
2017 Q3,Kakadu Arnhem,Northern Territory,Visiting,2.8081233
2017 Q4,Kakadu Arnhem,Northern Territory,Visiting,4.4952973
1998 Q1,Kangaroo Island,South Australia,Business,2.0723764
1998 Q2,Kangaroo Island,South Australia,Business,1.3541147
1998 Q3,Kangaroo Island,South Australia,Business,0
1998 Q4,Kangaroo Island,South Australia,Business,2.2181375
1999 Q1,Kangaroo Island,South Australia,Business,4.0767228
1999 Q2,Kangaroo Island,South Australia,Business,0
1999 Q3,Kangaroo Island,South Australia,Business,0
1999 Q4,Kangaroo Island,South Australia,Business,0
2000 Q1,Kangaroo Island,South Australia,Business,0
2000 Q2,Kangaroo Island,South Australia,Business,2.0169212
2000 Q3,Kangaroo Island,South Australia,Business,0
2000 Q4,Kangaroo Island,South Australia,Business,0
2001 Q1,Kangaroo Island,South Australia,Business,0.8499567
2001 Q2,Kangaroo Island,South Australia,Business,2.1145066
2001 Q3,Kangaroo Island,South Australia,Business,1.7269565
2001 Q4,Kangaroo Island,South Australia,Business,0
2002 Q1,Kangaroo Island,South Australia,Business,1.5056691
2002 Q2,Kangaroo Island,South Australia,Business,3.0813138
2002 Q3,Kangaroo Island,South Australia,Business,0
2002 Q4,Kangaroo Island,South Australia,Business,7.8572158
2003 Q1,Kangaroo Island,South Australia,Business,4.3373395
2003 Q2,Kangaroo Island,South Australia,Business,0.7620546
2003 Q3,Kangaroo Island,South Australia,Business,1.2494081
2003 Q4,Kangaroo Island,South Australia,Business,2.7881456
2004 Q1,Kangaroo Island,South Australia,Business,2.315039
2004 Q2,Kangaroo Island,South Australia,Business,1.7805956
2004 Q3,Kangaroo Island,South Australia,Business,3.1356972
2004 Q4,Kangaroo Island,South Australia,Business,2.2390177000000002
2005 Q1,Kangaroo Island,South Australia,Business,1.204059
2005 Q2,Kangaroo Island,South Australia,Business,3.6198314
2005 Q3,Kangaroo Island,South Australia,Business,4.7683973
2005 Q4,Kangaroo Island,South Australia,Business,1.4145251
2006 Q1,Kangaroo Island,South Australia,Business,3.265203
2006 Q2,Kangaroo Island,South Australia,Business,4.654411
2006 Q3,Kangaroo Island,South Australia,Business,4.062324
2006 Q4,Kangaroo Island,South Australia,Business,1.527306
2007 Q1,Kangaroo Island,South Australia,Business,2.0298262
2007 Q2,Kangaroo Island,South Australia,Business,2.5586054
2007 Q3,Kangaroo Island,South Australia,Business,7.5912374
2007 Q4,Kangaroo Island,South Australia,Business,6.3504919
2008 Q1,Kangaroo Island,South Australia,Business,0
2008 Q2,Kangaroo Island,South Australia,Business,1.9293348
2008 Q3,Kangaroo Island,South Australia,Business,1.2115922
2008 Q4,Kangaroo Island,South Australia,Business,3.4007463000000002
2009 Q1,Kangaroo Island,South Australia,Business,10.5934799
2009 Q2,Kangaroo Island,South Australia,Business,1.2558623
2009 Q3,Kangaroo Island,South Australia,Business,2.3544935
2009 Q4,Kangaroo Island,South Australia,Business,0
2010 Q1,Kangaroo Island,South Australia,Business,1.2535517
2010 Q2,Kangaroo Island,South Australia,Business,1.1849108
2010 Q3,Kangaroo Island,South Australia,Business,9.4128388
2010 Q4,Kangaroo Island,South Australia,Business,1.7434138
2011 Q1,Kangaroo Island,South Australia,Business,2.7656659
2011 Q2,Kangaroo Island,South Australia,Business,0
2011 Q3,Kangaroo Island,South Australia,Business,3.2351331
2011 Q4,Kangaroo Island,South Australia,Business,2.2836625
2012 Q1,Kangaroo Island,South Australia,Business,8.9858702
2012 Q2,Kangaroo Island,South Australia,Business,1.4897733
2012 Q3,Kangaroo Island,South Australia,Business,1.5099342
2012 Q4,Kangaroo Island,South Australia,Business,0
2013 Q1,Kangaroo Island,South Australia,Business,0
2013 Q2,Kangaroo Island,South Australia,Business,2.5566435
2013 Q3,Kangaroo Island,South Australia,Business,2.6518303
2013 Q4,Kangaroo Island,South Australia,Business,0
2014 Q1,Kangaroo Island,South Australia,Business,0
2014 Q2,Kangaroo Island,South Australia,Business,0
2014 Q3,Kangaroo Island,South Australia,Business,4.2130596
2014 Q4,Kangaroo Island,South Australia,Business,0
2015 Q1,Kangaroo Island,South Australia,Business,0
2015 Q2,Kangaroo Island,South Australia,Business,0
2015 Q3,Kangaroo Island,South Australia,Business,0.4798833
2015 Q4,Kangaroo Island,South Australia,Business,0
2016 Q1,Kangaroo Island,South Australia,Business,5.277895
2016 Q2,Kangaroo Island,South Australia,Business,2.4190149
2016 Q3,Kangaroo Island,South Australia,Business,0
2016 Q4,Kangaroo Island,South Australia,Business,4.8502695
2017 Q1,Kangaroo Island,South Australia,Business,1.3149522
2017 Q2,Kangaroo Island,South Australia,Business,0.3889219
2017 Q3,Kangaroo Island,South Australia,Business,0
2017 Q4,Kangaroo Island,South Australia,Business,20.941861
1998 Q1,Kangaroo Island,South Australia,Holiday,28.4077656
1998 Q2,Kangaroo Island,South Australia,Holiday,7.7037019
1998 Q3,Kangaroo Island,South Australia,Holiday,10.4643806
1998 Q4,Kangaroo Island,South Australia,Holiday,6.4026054
1999 Q1,Kangaroo Island,South Australia,Holiday,6.8434425
1999 Q2,Kangaroo Island,South Australia,Holiday,15.068887
1999 Q3,Kangaroo Island,South Australia,Holiday,5.1710971
1999 Q4,Kangaroo Island,South Australia,Holiday,7.2769576
2000 Q1,Kangaroo Island,South Australia,Holiday,36.8992435
2000 Q2,Kangaroo Island,South Australia,Holiday,11.1558098
2000 Q3,Kangaroo Island,South Australia,Holiday,11.9280424
2000 Q4,Kangaroo Island,South Australia,Holiday,10.197071
2001 Q1,Kangaroo Island,South Australia,Holiday,18.8740235
2001 Q2,Kangaroo Island,South Australia,Holiday,16.2847706
2001 Q3,Kangaroo Island,South Australia,Holiday,8.3260479
2001 Q4,Kangaroo Island,South Australia,Holiday,20.3650481
2002 Q1,Kangaroo Island,South Australia,Holiday,5.370989
2002 Q2,Kangaroo Island,South Australia,Holiday,16.1973505
2002 Q3,Kangaroo Island,South Australia,Holiday,9.2018389
2002 Q4,Kangaroo Island,South Australia,Holiday,18.7400979
2003 Q1,Kangaroo Island,South Australia,Holiday,33.3483737
2003 Q2,Kangaroo Island,South Australia,Holiday,23.5041415
2003 Q3,Kangaroo Island,South Australia,Holiday,7.4889252
2003 Q4,Kangaroo Island,South Australia,Holiday,12.3192326
2004 Q1,Kangaroo Island,South Australia,Holiday,28.8582094
2004 Q2,Kangaroo Island,South Australia,Holiday,16.8569297
2004 Q3,Kangaroo Island,South Australia,Holiday,15.5623401
2004 Q4,Kangaroo Island,South Australia,Holiday,14.66198
2005 Q1,Kangaroo Island,South Australia,Holiday,23.1901229
2005 Q2,Kangaroo Island,South Australia,Holiday,14.3445481
2005 Q3,Kangaroo Island,South Australia,Holiday,14.3674465
2005 Q4,Kangaroo Island,South Australia,Holiday,7.6032867
2006 Q1,Kangaroo Island,South Australia,Holiday,34.221684
2006 Q2,Kangaroo Island,South Australia,Holiday,15.641321
2006 Q3,Kangaroo Island,South Australia,Holiday,10.496209
2006 Q4,Kangaroo Island,South Australia,Holiday,18.366976
2007 Q1,Kangaroo Island,South Australia,Holiday,28.7176734
2007 Q2,Kangaroo Island,South Australia,Holiday,20.2160387
2007 Q3,Kangaroo Island,South Australia,Holiday,11.8685091
2007 Q4,Kangaroo Island,South Australia,Holiday,15.8714786
2008 Q1,Kangaroo Island,South Australia,Holiday,28.9071872
2008 Q2,Kangaroo Island,South Australia,Holiday,10.5207336
2008 Q3,Kangaroo Island,South Australia,Holiday,12.2949252
2008 Q4,Kangaroo Island,South Australia,Holiday,24.7274776
2009 Q1,Kangaroo Island,South Australia,Holiday,28.5015255
2009 Q2,Kangaroo Island,South Australia,Holiday,16.6522615
2009 Q3,Kangaroo Island,South Australia,Holiday,22.2045838
2009 Q4,Kangaroo Island,South Australia,Holiday,29.0883604
2010 Q1,Kangaroo Island,South Australia,Holiday,14.8024241
2010 Q2,Kangaroo Island,South Australia,Holiday,16.3118421
2010 Q3,Kangaroo Island,South Australia,Holiday,7.2288862
2010 Q4,Kangaroo Island,South Australia,Holiday,16.9285574
2011 Q1,Kangaroo Island,South Australia,Holiday,14.2521448
2011 Q2,Kangaroo Island,South Australia,Holiday,18.9182151
2011 Q3,Kangaroo Island,South Australia,Holiday,7.2174609
2011 Q4,Kangaroo Island,South Australia,Holiday,15.7558157
2012 Q1,Kangaroo Island,South Australia,Holiday,26.1259236
2012 Q2,Kangaroo Island,South Australia,Holiday,22.293972
2012 Q3,Kangaroo Island,South Australia,Holiday,9.4963117
2012 Q4,Kangaroo Island,South Australia,Holiday,28.243528
2013 Q1,Kangaroo Island,South Australia,Holiday,9.6640035
2013 Q2,Kangaroo Island,South Australia,Holiday,27.9570124
2013 Q3,Kangaroo Island,South Australia,Holiday,14.2307574
2013 Q4,Kangaroo Island,South Australia,Holiday,17.4306815
2014 Q1,Kangaroo Island,South Australia,Holiday,31.8422945
2014 Q2,Kangaroo Island,South Australia,Holiday,16.2506268
2014 Q3,Kangaroo Island,South Australia,Holiday,7.8610622
2014 Q4,Kangaroo Island,South Australia,Holiday,24.4266023
2015 Q1,Kangaroo Island,South Australia,Holiday,21.1841537
2015 Q2,Kangaroo Island,South Australia,Holiday,16.8733929
2015 Q3,Kangaroo Island,South Australia,Holiday,16.8702316
2015 Q4,Kangaroo Island,South Australia,Holiday,33.3703303
2016 Q1,Kangaroo Island,South Australia,Holiday,19.7715296
2016 Q2,Kangaroo Island,South Australia,Holiday,15.8178342
2016 Q3,Kangaroo Island,South Australia,Holiday,12.9414849
2016 Q4,Kangaroo Island,South Australia,Holiday,36.6225311
2017 Q1,Kangaroo Island,South Australia,Holiday,22.3956378
2017 Q2,Kangaroo Island,South Australia,Holiday,15.4732403
2017 Q3,Kangaroo Island,South Australia,Holiday,15.0516552
2017 Q4,Kangaroo Island,South Australia,Holiday,21.6668405
1998 Q1,Kangaroo Island,South Australia,Other,0.4261681
1998 Q2,Kangaroo Island,South Australia,Other,0
1998 Q3,Kangaroo Island,South Australia,Other,0
1998 Q4,Kangaroo Island,South Australia,Other,0
1999 Q1,Kangaroo Island,South Australia,Other,0
1999 Q2,Kangaroo Island,South Australia,Other,0
1999 Q3,Kangaroo Island,South Australia,Other,0
1999 Q4,Kangaroo Island,South Australia,Other,0
2000 Q1,Kangaroo Island,South Australia,Other,1.0733634
2000 Q2,Kangaroo Island,South Australia,Other,0
2000 Q3,Kangaroo Island,South Australia,Other,0
2000 Q4,Kangaroo Island,South Australia,Other,0
2001 Q1,Kangaroo Island,South Australia,Other,3.9744077
2001 Q2,Kangaroo Island,South Australia,Other,2.491733
2001 Q3,Kangaroo Island,South Australia,Other,1.9123361
2001 Q4,Kangaroo Island,South Australia,Other,0
2002 Q1,Kangaroo Island,South Australia,Other,0
2002 Q2,Kangaroo Island,South Australia,Other,0
2002 Q3,Kangaroo Island,South Australia,Other,0
2002 Q4,Kangaroo Island,South Australia,Other,0
2003 Q1,Kangaroo Island,South Australia,Other,0
2003 Q2,Kangaroo Island,South Australia,Other,2.1524011
2003 Q3,Kangaroo Island,South Australia,Other,0
2003 Q4,Kangaroo Island,South Australia,Other,0
2004 Q1,Kangaroo Island,South Australia,Other,3.9599574
2004 Q2,Kangaroo Island,South Australia,Other,0.5173154
2004 Q3,Kangaroo Island,South Australia,Other,0
2004 Q4,Kangaroo Island,South Australia,Other,0
2005 Q1,Kangaroo Island,South Australia,Other,1.8681187
2005 Q2,Kangaroo Island,South Australia,Other,0
2005 Q3,Kangaroo Island,South Australia,Other,0
2005 Q4,Kangaroo Island,South Australia,Other,0
2006 Q1,Kangaroo Island,South Australia,Other,0
2006 Q2,Kangaroo Island,South Australia,Other,0
2006 Q3,Kangaroo Island,South Australia,Other,0.709066
2006 Q4,Kangaroo Island,South Australia,Other,2.944475
2007 Q1,Kangaroo Island,South Australia,Other,0
2007 Q2,Kangaroo Island,South Australia,Other,0
2007 Q3,Kangaroo Island,South Australia,Other,1.214142
2007 Q4,Kangaroo Island,South Australia,Other,0
2008 Q1,Kangaroo Island,South Australia,Other,0
2008 Q2,Kangaroo Island,South Australia,Other,0
2008 Q3,Kangaroo Island,South Australia,Other,0.7359238
2008 Q4,Kangaroo Island,South Australia,Other,0
2009 Q1,Kangaroo Island,South Australia,Other,1.4153602
2009 Q2,Kangaroo Island,South Australia,Other,0
2009 Q3,Kangaroo Island,South Australia,Other,0
2009 Q4,Kangaroo Island,South Australia,Other,0
2010 Q1,Kangaroo Island,South Australia,Other,0
2010 Q2,Kangaroo Island,South Australia,Other,0
2010 Q3,Kangaroo Island,South Australia,Other,0
2010 Q4,Kangaroo Island,South Australia,Other,0
2011 Q1,Kangaroo Island,South Australia,Other,0
2011 Q2,Kangaroo Island,South Australia,Other,0
2011 Q3,Kangaroo Island,South Australia,Other,0
2011 Q4,Kangaroo Island,South Australia,Other,0
2012 Q1,Kangaroo Island,South Australia,Other,0
2012 Q2,Kangaroo Island,South Australia,Other,0
2012 Q3,Kangaroo Island,South Australia,Other,0
2012 Q4,Kangaroo Island,South Australia,Other,0
2013 Q1,Kangaroo Island,South Australia,Other,0
2013 Q2,Kangaroo Island,South Australia,Other,0.935489
2013 Q3,Kangaroo Island,South Australia,Other,0
2013 Q4,Kangaroo Island,South Australia,Other,0
2014 Q1,Kangaroo Island,South Australia,Other,0
2014 Q2,Kangaroo Island,South Australia,Other,0
2014 Q3,Kangaroo Island,South Australia,Other,0
2014 Q4,Kangaroo Island,South Australia,Other,0
2015 Q1,Kangaroo Island,South Australia,Other,0
2015 Q2,Kangaroo Island,South Australia,Other,0
2015 Q3,Kangaroo Island,South Australia,Other,0
2015 Q4,Kangaroo Island,South Australia,Other,0
2016 Q1,Kangaroo Island,South Australia,Other,0
2016 Q2,Kangaroo Island,South Australia,Other,0
2016 Q3,Kangaroo Island,South Australia,Other,0
2016 Q4,Kangaroo Island,South Australia,Other,0.897476
2017 Q1,Kangaroo Island,South Australia,Other,0
2017 Q2,Kangaroo Island,South Australia,Other,0
2017 Q3,Kangaroo Island,South Australia,Other,0
2017 Q4,Kangaroo Island,South Australia,Other,0
1998 Q1,Kangaroo Island,South Australia,Visiting,3.7719898
1998 Q2,Kangaroo Island,South Australia,Visiting,0
1998 Q3,Kangaroo Island,South Australia,Visiting,0
1998 Q4,Kangaroo Island,South Australia,Visiting,0
1999 Q1,Kangaroo Island,South Australia,Visiting,1.6417784
1999 Q2,Kangaroo Island,South Australia,Visiting,7.2383596
1999 Q3,Kangaroo Island,South Australia,Visiting,0
1999 Q4,Kangaroo Island,South Australia,Visiting,5.0722169
2000 Q1,Kangaroo Island,South Australia,Visiting,1.4127813
2000 Q2,Kangaroo Island,South Australia,Visiting,5.9582356
2000 Q3,Kangaroo Island,South Australia,Visiting,0.8928964
2000 Q4,Kangaroo Island,South Australia,Visiting,2.9662001
2001 Q1,Kangaroo Island,South Australia,Visiting,6.6427766
2001 Q2,Kangaroo Island,South Australia,Visiting,0.5154472
2001 Q3,Kangaroo Island,South Australia,Visiting,0
2001 Q4,Kangaroo Island,South Australia,Visiting,0.7645633
2002 Q1,Kangaroo Island,South Australia,Visiting,1.7365269
2002 Q2,Kangaroo Island,South Australia,Visiting,0
2002 Q3,Kangaroo Island,South Australia,Visiting,2.2519472
2002 Q4,Kangaroo Island,South Australia,Visiting,0
2003 Q1,Kangaroo Island,South Australia,Visiting,2.4052691
2003 Q2,Kangaroo Island,South Australia,Visiting,1.0151362
2003 Q3,Kangaroo Island,South Australia,Visiting,2.9856032
2003 Q4,Kangaroo Island,South Australia,Visiting,1.5899686
2004 Q1,Kangaroo Island,South Australia,Visiting,3.5465706
2004 Q2,Kangaroo Island,South Australia,Visiting,7.8269948
2004 Q3,Kangaroo Island,South Australia,Visiting,0
2004 Q4,Kangaroo Island,South Australia,Visiting,2.6385859
2005 Q1,Kangaroo Island,South Australia,Visiting,4.2379139
2005 Q2,Kangaroo Island,South Australia,Visiting,2.0516932
2005 Q3,Kangaroo Island,South Australia,Visiting,0.9973215
2005 Q4,Kangaroo Island,South Australia,Visiting,2.7266249
2006 Q1,Kangaroo Island,South Australia,Visiting,8.335818
2006 Q2,Kangaroo Island,South Australia,Visiting,2.044099
2006 Q3,Kangaroo Island,South Australia,Visiting,5.852019
2006 Q4,Kangaroo Island,South Australia,Visiting,2.084318
2007 Q1,Kangaroo Island,South Australia,Visiting,1.90138
2007 Q2,Kangaroo Island,South Australia,Visiting,4.4199222
2007 Q3,Kangaroo Island,South Australia,Visiting,2.151829
2007 Q4,Kangaroo Island,South Australia,Visiting,1.507358
2008 Q1,Kangaroo Island,South Australia,Visiting,0.6331827
2008 Q2,Kangaroo Island,South Australia,Visiting,6.268023
2008 Q3,Kangaroo Island,South Australia,Visiting,3.4743059
2008 Q4,Kangaroo Island,South Australia,Visiting,4.862757
2009 Q1,Kangaroo Island,South Australia,Visiting,7.264179
2009 Q2,Kangaroo Island,South Australia,Visiting,3.2213383
2009 Q3,Kangaroo Island,South Australia,Visiting,3.030541
2009 Q4,Kangaroo Island,South Australia,Visiting,5.9291511
2010 Q1,Kangaroo Island,South Australia,Visiting,6.7119299
2010 Q2,Kangaroo Island,South Australia,Visiting,1.9341484
2010 Q3,Kangaroo Island,South Australia,Visiting,3.2390611
2010 Q4,Kangaroo Island,South Australia,Visiting,1.1434991
2011 Q1,Kangaroo Island,South Australia,Visiting,2.6441211
2011 Q2,Kangaroo Island,South Australia,Visiting,7.0206976
2011 Q3,Kangaroo Island,South Australia,Visiting,0.5369234
2011 Q4,Kangaroo Island,South Australia,Visiting,2.8219981
2012 Q1,Kangaroo Island,South Australia,Visiting,1.1026846
2012 Q2,Kangaroo Island,South Australia,Visiting,0.9541982
2012 Q3,Kangaroo Island,South Australia,Visiting,0.8121371
2012 Q4,Kangaroo Island,South Australia,Visiting,6.4274741
2013 Q1,Kangaroo Island,South Australia,Visiting,1.2720928
2013 Q2,Kangaroo Island,South Australia,Visiting,2.4262456
2013 Q3,Kangaroo Island,South Australia,Visiting,0
2013 Q4,Kangaroo Island,South Australia,Visiting,2.633202
2014 Q1,Kangaroo Island,South Australia,Visiting,0
2014 Q2,Kangaroo Island,South Australia,Visiting,3.4157718
2014 Q3,Kangaroo Island,South Australia,Visiting,0
2014 Q4,Kangaroo Island,South Australia,Visiting,7.2932927
2015 Q1,Kangaroo Island,South Australia,Visiting,0.6979781
2015 Q2,Kangaroo Island,South Australia,Visiting,7.2918004
2015 Q3,Kangaroo Island,South Australia,Visiting,4.4462806
2015 Q4,Kangaroo Island,South Australia,Visiting,2.5251123
2016 Q1,Kangaroo Island,South Australia,Visiting,5.5754472
2016 Q2,Kangaroo Island,South Australia,Visiting,3.0121662
2016 Q3,Kangaroo Island,South Australia,Visiting,0.4593291
2016 Q4,Kangaroo Island,South Australia,Visiting,3.5585047
2017 Q1,Kangaroo Island,South Australia,Visiting,0.4835562
2017 Q2,Kangaroo Island,South Australia,Visiting,0
2017 Q3,Kangaroo Island,South Australia,Visiting,1.6281399
2017 Q4,Kangaroo Island,South Australia,Visiting,0
1998 Q1,Katherine Daly,Northern Territory,Business,4.9761359
1998 Q2,Katherine Daly,Northern Territory,Business,14.1320727
1998 Q3,Katherine Daly,Northern Territory,Business,6.7257961
1998 Q4,Katherine Daly,Northern Territory,Business,7.129359
1999 Q1,Katherine Daly,Northern Territory,Business,11.4741005
1999 Q2,Katherine Daly,Northern Territory,Business,22.1301644
1999 Q3,Katherine Daly,Northern Territory,Business,14.7042685
1999 Q4,Katherine Daly,Northern Territory,Business,18.3336785
2000 Q1,Katherine Daly,Northern Territory,Business,11.780193
2000 Q2,Katherine Daly,Northern Territory,Business,19.9292481
2000 Q3,Katherine Daly,Northern Territory,Business,21.9265687
2000 Q4,Katherine Daly,Northern Territory,Business,5.8833274
2001 Q1,Katherine Daly,Northern Territory,Business,3.5637595
2001 Q2,Katherine Daly,Northern Territory,Business,14.9626775
2001 Q3,Katherine Daly,Northern Territory,Business,10.552162
2001 Q4,Katherine Daly,Northern Territory,Business,27.1869817
2002 Q1,Katherine Daly,Northern Territory,Business,22.5444399
2002 Q2,Katherine Daly,Northern Territory,Business,44.9639998
2002 Q3,Katherine Daly,Northern Territory,Business,22.9013629
2002 Q4,Katherine Daly,Northern Territory,Business,25.4122386
2003 Q1,Katherine Daly,Northern Territory,Business,8.8168899
2003 Q2,Katherine Daly,Northern Territory,Business,10.0598878
2003 Q3,Katherine Daly,Northern Territory,Business,6.8277824
2003 Q4,Katherine Daly,Northern Territory,Business,14.2688081
2004 Q1,Katherine Daly,Northern Territory,Business,21.1567198
2004 Q2,Katherine Daly,Northern Territory,Business,16.8328162
2004 Q3,Katherine Daly,Northern Territory,Business,22.2244935
2004 Q4,Katherine Daly,Northern Territory,Business,5.8644248
2005 Q1,Katherine Daly,Northern Territory,Business,6.2180273
